Location,Latitude,Longitude,EventName,Year,InstitutionOrCompany,City,Country,Coordinates,Subtitle,Wiki_URL,Photo_URL
"University of California San Diego, La Jolla, USA",32.881168,-117.2343605,Backpropagation Popularized,1986,"University of California, San Diego","La Jolla, California",USA,"32.881168,-117.2343605","The key algorithm that made training deep networks possible","https://en.wikipedia.org/wiki/Backpropagation","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Backpropagation_diagram.svg/1280px-Backpropagation_diagram.svg.png"
"Bell Works, 101 Crawfords Corner Road, Holmdel, USA",40.3653645,-74.1672256,Invention of CNNs,1989,Bell Labs,"Holmdel, New Jersey",USA,"40.3653645,-74.1672256","Convolutional Neural Networks revolutionize image recognition","https://en.wikipedia.org/wiki/Convolutional_neural_network","https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Typical_cnn.png/1280px-Typical_cnn.png"
"Technical University of Munich, Arcisstrasse 21, Munich, Germany",48.1487646,11.5681764,Invention of LSTMs,1997,Technical University of Munich,Munich,Germany,"48.1487646,11.5681764","Long Short-Term Memory networks master sequential data","https://en.wikipedia.org/wiki/Long_short-term_memory","https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Peephole_Long_Short-Term_Memory.svg/1280px-Peephole_Long_Short-Term_Memory.svg.png"
"Equitable Center, 787 Seventh Avenue, New York, USA",40.7614408,-73.9814491,Deep Blue defeats Kasparov,1997,IBM,"New York, New York",USA,"40.7614408,-73.9814491","A machine defeats a reigning world chess champion","https://en.wikipedia.org/wiki/Deep_Blue_versus_Garry_Kasparov","https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Deep_Blue.jpg/800px-Deep_Blue.jpg"
"Princeton University, Princeton, New Jersey, USA",40.3430942,-74.6550739,ImageNet Dataset Created,2009,Princeton University,"Princeton, New Jersey",USA,"40.3430942,-74.6550739","A massive labeled dataset that catalyzed the deep learning boom","https://en.wikipedia.org/wiki/ImageNet","https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/ImageNet-Logo.svg/1920px-ImageNet-Logo.svg.png"
"IBM Thomas J. Watson Research Center, 1101 Kitchawan Rd, Yorktown Heights, USA",41.2110186,-73.8029193,IBM Watson wins Jeopardy!,2011,IBM,"Yorktown Heights, New York",USA,"41.2110186,-73.8029193","AI masters natural language and complex general knowledge","https://en.wikipedia.org/wiki/Watson_(computer)","https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ibm_watson.jpg/1024px-Ibm_watson.jpg"
"Bahen Centre for Information Technology, Toronto, Canada",43.6598045,-79.397298,AlexNet wins ImageNet,2012,University of Toronto,Toronto,Canada,"43.6598045,-79.397298","A decisive victory that kicked off the modern deep learning revolution","https://en.wikipedia.org/wiki/AlexNet","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Architecture_of_AlexNet.png/1280px-Architecture_of_AlexNet.png"
"University of Montreal, 2900 Edouard Montpetit Blvd, Montreal, Canada",45.5056156,-73.6137592,Invention of GANs (Generative Adversarial Networks),2014,University of Montreal,Montreal,Canada,"45.5056156,-73.6137592","Generative Adversarial Networks learn to create new, original data","https://en.wikipedia.org/wiki/Generative_adversarial_network","https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Gan_schema.svg/1280px-Gan_schema.svg.png"
"Google DeepMind, 6 Pancras Square, London, UK",51.5332609,-0.1260032,AlphaGo defeats Champion,2016,DeepMind (Google),London,UK,"51.5332609,-0.1260032","AI masters the ancient and highly intuitive game of Go","https://en.wikipedia.org/wiki/AlphaGo_versus_Lee_Sedol","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/AlphaGo-Lee_Sedol_match_in_progress.jpg/1280px-AlphaGo-Lee_Sedol_match_in_progress.jpg"
"Googleplex, 1600 Amphitheatre Parkway, Mountain View, USA",37.4220541,-122.0853242,"Transformer Architecture ('Attention Is All You Need')",2017,Google,"Mountain View, California",USA,"37.4220541,-122.0853242","The foundation for modern large language models like GPT","https://en.wikipedia.org/wiki/Transformer_(machine_learning_model)","https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/The-Transformer-model-architecture.png/1280px-The-Transformer-model-architecture.png"
"Pioneer Building, 3180 18th Street, San Francisco, USA",37.7622723,-122.414645,Rise of Generative AI,2018,OpenAI,"San Francisco, California",USA,"37.7622723,-122.414645","Early GPT models signal the power of generative pre-training","https://en.wikipedia.org/wiki/Generative_pre-trained_transformer","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/OpenAI_Logo.svg/1280px-OpenAI_Logo.svg.png"
"OpenAI HQ, 3180 18th Street, San Francisco, USA",37.7622239,-122.4146304,GPT-3 Released,2020,OpenAI,"San Francisco, California",USA,"37.7622239,-122.4146304","A massive language model shows stunning generative abilities","https://en.wikipedia.org/wiki/GPT-3","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/GPT-3_logo.svg/1280px-GPT-3_logo.svg.png"
